Q_ID,Question_Text,Domain,Tier,Intensity,Primary_Bucket,Deck_Eligible,Contraindications,Personas,Situations,Mechanisms,Performance_Tags,Relationship_Tags,Risk_Flags,Biological_Tags,Digital_Tags,Format_Tags,Symptoms,Goals
FB-H-01,"Over the past 14 days, how consistent is your wake time (± minutes), and what is the pattern when it breaks?",D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.SOMATIC_DISREGULATION,,,,BIO.SLEEP,,F.SOLO_JOURNAL,SYM.FATIGUE,G.REGULATION
FB-H-02,What is the earliest time you can realistically be in bed on weekdays without resentment? What blocks it?,D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.AVOIDANCE_LOOP,,,,BIO.SLEEP,,F.SOLO_JOURNAL,SYM.RECOVERY_DEFICIT,G.RECOVERY
FB-H-03,What is your caffeine/nicotine signature (timing + dose)? What symptom does it temporarily solve?,D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.SOMATIC_DISREGULATION,,,,BIO.CAFFEINE_NICOTINE,,F.SOLO_JOURNAL,SYM.ANXIETY,G.REGULATION
FB-H-04,When do you feel your first real drop in energy each day? What are you doing right before it?,D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.SOMATIC_DISREGULATION,,,,BIO.RHYTHMS,,F.SOLO_JOURNAL,SYM.FATIGUE,G.RECOVERY
FB-H-05,"Under pressure, do you hold your breath, go shallow, or speed up? What trigger reliably flips it?",D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.THREAT_RESPONSE,,,,BIO.BREATH_SIGNATURE,,F.SOLO_JOURNAL,SYM.ANXIETY,G.REGULATION
FB-H-06,Where does stress land first (jaw/chest/gut/neck)? What are you usually thinking in that exact moment?,D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.COG_DISTORTION,,,,BIO.TENSION_PATTERNS,,F.SOLO_JOURNAL,SYM.SOMATIC_TENSION,G.AWARENESS
FB-H-07,"Which sensory inputs (noise, lighting, texture, crowds) spike your irritability fastest—and what do you do next?",D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.SOMATIC_DISREGULATION,,,,BIO.SENSORY_OVERLOAD,,F.SOLO_JOURNAL,SYM.IRRITABILITY,G.REGULATION
FB-H-08,How often do you override hunger/thirst/toilet/rest signals for ‘just one more task’? What does it cost you later?,D.I_HARDWARE,Tier 2,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.OVERRIDE_SIGNAL,,,,BIO.INTEROCEPTION,,F.SOLO_JOURNAL,SYM.BURNOUT,G.RECOVERY
FB-H-09,"What is your shutdown tell (zoning out, blank mind, heavy limbs)? How early can you catch it?",D.I_HARDWARE,Tier 2,I3.DEEP,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.THREAT_RESPONSE,,,,BIO.DISSOCIATION_TELL,,F.SOLO_JOURNAL,SYM.NUMBNESS,G.REGULATION
FB-H-10,When was the last time your body moved hard enough to change your mood within 20 minutes? What stopped you recently?,D.I_HARDWARE,Tier 2,I3.DEEP,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.RECOVERY_AVERSION,,,,BIO.MOVEMENT,,F.SOLO_JOURNAL,SYM.LOW_MOOD,G.RECOVERY
FB-O-01,"Which decision are you deferring because it will create conflict, loss, or identity discomfort?",D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.AVOIDANCE_LOOP,PERF.DECISION_FATIGUE,,,,,F.SOLO_JOURNAL,SYM.PROCRASTINATION,G.CLARITY
FB-O-02,"How many open loops are you carrying right now (tasks, messages, promises)? Which 3 are draining 80% of your RAM?",D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.OVERLOAD,PERF.COG_LOAD,,,,,F.SOLO_JOURNAL,SYM.OVERWHELM,G.FOCUS
FB-O-03,Where do you demand certainty that reality cannot provide—and how do you punish yourself for not having it?,D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.CONTROL_STRATEGY,,,,,,F.SOLO_JOURNAL,SYM.ANXIETY,G.REGULATION
FB-O-04,What fear are you disguising as logic this week?,D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.COG_DISTORTION,,,,,,F.SOLO_JOURNAL,SYM.ANXIETY,G.CLARITY
FB-O-05,"Before high-stakes meetings, what does your mind assume others will discover about you?",D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.COG_DISTORTION,PERF.IMPOSTOR_PATTERN,,,,,F.SOLO_JOURNAL,SYM.SHAME,G.CONFIDENCE
FB-O-06,What scenario does your brain replay when idle or waiting—and what emotion is it trying to avoid?,D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.COG_DISTORTION,,,,,,F.SOLO_JOURNAL,SYM.RUMINATION,G.REGULATION
FB-O-07,Which metric controls your mood more than it should—and what does that metric symbolize to you?,D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.IDENTITY_FUSION,PERF.METRICS_OBSESSION,,,,,F.SOLO_JOURNAL,SYM.ANXIETY,G.MEANING
FB-O-08,"What does your mind do when forced to wait (traffic, loading, delays): rage, scroll, plan, numb out, or rehearse?",D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.DOPAMINE_SEEKING,PERF.FOCUS,,,,,F.SOLO_JOURNAL,SYM.RESTLESSNESS,G.FOCUS
FB-O-09,What standard are you using that no human could meet—yet you treat it as ‘baseline’?,D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.PERFECTIONISM,,,,,,F.SOLO_JOURNAL,SYM.SHAME,G.SELF_COMPASSION
FB-O-10,Where does your work expand because stopping would force you to feel something?,D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.AVOIDANCE_LOOP,PERF.SCOPE_CREEP,,,,,F.SOLO_JOURNAL,SYM.OVERWORK,G.BOUNDARIES
