Q_ID,Question_Text,Domain,Tier,Intensity,Primary_Bucket,Deck_Eligible,Contraindications,Personas,Situations,Mechanisms,Performance_Tags,Relationship_Tags,Risk_Flags,Biological_Tags,Digital_Tags,Format_Tags,Symptoms,Goals,Sequence_Order,Section_Block
NP-LM-0001,"What is the earliest physical sign your social battery is draining (jaw, chest, gut, shoulders)?",D.I_HARDWARE,Tier 0,I1.PING,Hardware,True,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.COMMUNICATION_BREAKDOWN, S.CONFLICT, S.ISOLATION",M.SOMATIC_DISREGULATION,PERF.BANDWIDTH_LIMIT,,,BIO.SOCIAL_BATTERY,,F.SOLO_JOURNAL,SYM.STRESS,"G.REGULATION, G.CONNECTION",1,START
NP-LM-0002,"Which environments make connection harder for you (noise, crowds, lighting, touch)—and what do you do to cope?",D.I_HARDWARE,Tier 0,I1.PING,Hardware,True,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.COMMUNICATION_BREAKDOWN, S.CONFLICT, S.ISOLATION",M.SOMATIC_DISREGULATION,PERF.BANDWIDTH_LIMIT,,,BIO.SENSORY_GATING,,F.SOLO_JOURNAL,SYM.STRESS,"G.REGULATION, G.CONNECTION",2,START
NP-LM-0003,Who can you sit with in silence and feel no pressure? What makes that silence safe?,D.V_RELATIONSHIPS,Tier 0,I1.PING,Network,True,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.COMMUNICATION_BREAKDOWN, S.CONFLICT, S.ISOLATION",M.RELATIONAL_DEFENSE,PERF.COMMUNICATION_SIGNAL,REL.SILENCE_TOLERANCE,,,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.SAFETY",3,START
NP-LM-0004,"When someone reaches out, what makes you respond warmly vs. delay/ignore?",D.V_RELATIONSHIPS,Tier 0,I1.PING,Network,True,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.COMMUNICATION_BREAKDOWN, S.CONFLICT, S.ISOLATION",M.RELATIONAL_DEFENSE,PERF.COMMUNICATION_SIGNAL,REL.BIDS_FOR_CONNECTION,,,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.SAFETY",4,START
NP-LM-0005,"When someone is quiet, what do you assume first: ‘they’re angry’, ‘they don’t care’, or ‘I did something wrong’?",D.II_OS,Tier 0,I1.PING,OS,True,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.COMMUNICATION_BREAKDOWN, S.CONFLICT, S.ISOLATION",M.COG_DISTORTION,PERF.RELATIONAL_FRICTION,,,,,F.SOLO_JOURNAL,SYM.RUMINATION,"G.CLARITY, G.SAFETY",5,START
NP-LM-0006,"In conflict, what happens to your breath first (hold, shallow, fast)?",D.I_HARDWARE,Tier 0,I1.PING,Hardware,True,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.COMMUNICATION_BREAKDOWN, S.CONFLICT, S.ISOLATION",M.SOMATIC_DISREGULATION,PERF.BANDWIDTH_LIMIT,,,BIO.BREATH_SIGNATURE,,F.SOLO_JOURNAL,SYM.STRESS,"G.REGULATION, G.CONNECTION",6,START
NP-LM-0007,"What tones/phrases instantly make you feel attacked or dismissed, even if the content is neutral?",D.V_RELATIONSHIPS,Tier 0,I1.PING,Network,True,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.COMMUNICATION_BREAKDOWN, S.CONFLICT, S.ISOLATION",M.RELATIONAL_DEFENSE,PERF.COMMUNICATION_SIGNAL,REL.TRIGGER_PHRASES,,,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.SAFETY",7,START
NP-LM-0008,"After tension, how long is your ‘repair window’ (minutes/hours/days) before you start to harden/withdraw?",D.I_HARDWARE,Tier 0,I1.PING,Hardware,True,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.COMMUNICATION_BREAKDOWN, S.CONFLICT, S.ISOLATION",M.SOMATIC_DISREGULATION,"PERF.RECOVERY_DEFICIT, PERF.BANDWIDTH_LIMIT",REL.REPAIR_WINDOW,,"BIO.RECOVERY_WINDOW, BIO.NERVOUS_SYSTEM",,F.SOLO_JOURNAL,SYM.STRESS,"G.REGULATION, G.CONNECTION",8,START
NP-LM-0009,"Under stress, do you pursue closeness, withdraw, or go numb? What is your earliest cue?",D.V_RELATIONSHIPS,Tier 0,I2.SCAN,Network,True,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.COMMUNICATION_BREAKDOWN, S.CONFLICT, S.ISOLATION",M.ATTACHMENT_TEMPLATE,PERF.COMMUNICATION_SIGNAL,REL.ATTACHMENT_STYLE,,,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.SAFETY",9,DEEP
NP-LM-0010,Do you trust until broken or mistrust until proven? What event taught you that default?,D.V_RELATIONSHIPS,Tier 0,I2.SCAN,Network,True,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.COMMUNICATION_BREAKDOWN, S.CONFLICT, S.ISOLATION",M.ATTACHMENT_TEMPLATE,PERF.COMMUNICATION_SIGNAL,REL.TRUST_DEFAULT,,,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.SAFETY",10,DEEP
