Q_ID,Question_Text,Domain,Tier,Intensity,Primary_Bucket,Deck_Eligible,Contraindications,Personas,Situations,Mechanisms,Performance_Tags,Relationship_Tags,Risk_Flags,Biological_Tags,Digital_Tags,Format_Tags,Symptoms,Goals,Sequence_Order,Section_Block
NP-0001,"When you leave a social interaction, what is your earliest bodily signal that your battery is depleted (jaw, chest, gut, shoulders)?",D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN",M.SOMATIC_DISREGULATION,PERF.EMOTIONAL_LATENCY,"BIO.SOCIAL_BATTERY, REL.COMMUNICATION_BREAKDOWN",,BIO.SOCIAL_BATTERY,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.REGULATION",1,START
NP-0002,"Which specific behaviors from others reliably calm your nervous system (tone, pacing, eye contact, proximity)—and which reliably spike it?",D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN",M.SOMATIC_DISREGULATION,PERF.EMOTIONAL_LATENCY,"BIO.CO_REGULATION, REL.COMMUNICATION_BREAKDOWN",,BIO.CO_REGULATION,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.REGULATION",2,START
NP-0003,"In conflict, what happens first: your breath changes, your voice changes, or your posture changes? Describe the exact sequence.",D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN",M.THREAT_RESPONSE,PERF.EMOTIONAL_LATENCY,"BIO.STRESS_SIGNATURE, REL.COMMUNICATION_BREAKDOWN",,BIO.STRESS_SIGNATURE,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.REGULATION",3,START
NP-0004,"Which sensory conditions make connection harder for you (noise, bright light, crowds, touch)? What do you do to compensate?",D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN",M.SOMATIC_DISREGULATION,PERF.EMOTIONAL_LATENCY,"BIO.SENSORY_GATING, REL.COMMUNICATION_BREAKDOWN",,BIO.SENSORY_GATING,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.REGULATION",4,START
NP-0005,"What is your personal “shutdown tell” in conversation (blank mind, numbness, irritation, sarcasm, leaving)?",D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN",M.SOMATIC_DISREGULATION,PERF.EMOTIONAL_LATENCY,"BIO.SHUTDOWN_TELL, REL.COMMUNICATION_BREAKDOWN",,BIO.SHUTDOWN_TELL,,F.SOLO_JOURNAL,SYM.IRRITABILITY,"G.CONNECTION, G.REGULATION",5,START
NP-0006,Who can you sit with in silence without pressure—and what makes that silence safe?,D.V_RELATIONSHIPS,Tier 1,I2.SCAN,Network,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN",M.SOMATIC_DISREGULATION,PERF.EMOTIONAL_LATENCY,"REL.SILENCE_TOLERANCE, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.REGULATION",6,START
NP-0007,"When someone reaches out to you (a ‘bid’), what makes you respond warmly vs. ignore it?",D.V_RELATIONSHIPS,Tier 1,I2.SCAN,Network,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN",M.SOMATIC_DISREGULATION,PERF.EMOTIONAL_LATENCY,"REL.BIDS_FOR_CONNECTION, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.REGULATION",7,START
NP-0008,"How does poor sleep change your capacity for empathy, patience, and repair the next day?",D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN",M.SOMATIC_DISREGULATION,PERF.EMOTIONAL_LATENCY,"BIO.SLEEP_IMPACT, REL.COMMUNICATION_BREAKDOWN",,BIO.SLEEP_IMPACT,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.REGULATION",8,START
NP-0009,What phrases or tones instantly make you feel misunderstood or attacked—even if the content is neutral?,D.V_RELATIONSHIPS,Tier 2,I3.DEEP,Network,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN",M.THREAT_RESPONSE,PERF.EMOTIONAL_LATENCY,"REL.TRIGGER_PHRASES, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.REGULATION",9,START
NP-0010,"What is your stimulant signature before social events or hard conversations (caffeine, nicotine, sugar)? What does it buy you—and what does it cost later?",D.I_HARDWARE,Tier 2,I3.DEEP,Hardware,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN",M.SOMATIC_DISREGULATION,PERF.EMOTIONAL_LATENCY,"BIO.CAFFEINE_NICOTINE, REL.COMMUNICATION_BREAKDOWN",,BIO.CAFFEINE_NICOTINE,,F.SOLO_JOURNAL,SYM.STRESS,"G.CONNECTION, G.REGULATION",10,START
NP-0011,"Under stress, do you pursue closeness, withdraw, or go numb? What is the earliest cue that you’re entering that mode?",D.V_RELATIONSHIPS,Tier 2,I2.SCAN,Network,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.ATTACHMENT_TEMPLATE,PERF.RELATIONAL_FRICTION,"REL.ATTACHMENT_STYLE, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.ANXIETY,"G.CONNECTION, G.BOUNDARIES",11,DEEP
NP-0012,Do you trust until broken or mistrust until proven? What event (not theory) taught you that default?,D.V_RELATIONSHIPS,Tier 2,I3.DEEP,Network,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.ATTACHMENT_TEMPLATE,PERF.RELATIONAL_FRICTION,"REL.TRUST_DEFAULT, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.ANXIETY,"G.CONNECTION, G.BOUNDARIES",12,DEEP
NP-0013,"In your closest relationships, what do you ‘need’ and what do you merely ‘prefer’? Which do you confuse?",D.V_RELATIONSHIPS,Tier 2,I2.SCAN,Network,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.RELATIONAL_DEFENSE,,"REL.NEED_VS_CHOOSE, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.LONELINESS,"G.CONNECTION, G.BOUNDARIES",13,DEEP
NP-0014,"When conflict appears, do you escalate to be heard, minimize to keep peace, or exit to stay safe? What do you call that strategy?",D.V_RELATIONSHIPS,Tier 2,I2.SCAN,Network,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.RELATIONAL_DEFENSE,,"REL.CONFLICT_STYLE, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.LONELINESS,"G.CONNECTION, G.BOUNDARIES",14,DEEP
NP-0015,How many people can you emotionally hold right now without resentment—and how do you know you’ve exceeded that limit?,D.I_HARDWARE,Tier 2,I3.DEEP,Hardware,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS","M.RESOURCE_DEPLETION, M.SOMATIC_DISREGULATION",PERF.BANDWIDTH_LIMIT,"REL.EMOTIONAL_BANDWIDTH, REL.COMMUNICATION_BREAKDOWN",,"BIO.SOCIAL_BATTERY, BIO.NERVOUS_SYSTEM",,F.SOLO_JOURNAL,"SYM.IRRITABILITY, SYM.FATIGUE","G.REGULATION, G.BOUNDARIES",15,DEEP
NP-0016,"After a rupture, who initiates repair—and what does initiating repair ‘mean’ to you (weakness, maturity, risk)?",D.V_RELATIONSHIPS,Tier 2,I2.SCAN,Network,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.RELATIONAL_DEFENSE,,"REL.REPAIR_INITIATOR, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.LONELINESS,"G.CONNECTION, G.BOUNDARIES",16,DEEP
NP-0017,"What is your most common ‘misread’ in relationships (you assume rejection, control, disrespect, indifference)?",D.V_RELATIONSHIPS,Tier 2,I2.SCAN,Network,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.RELATIONAL_DEFENSE,,"REL.MISATTUNEMENT, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.LONELINESS,"G.CONNECTION, G.BOUNDARIES",17,DEEP
NP-0018,"What do you need from a partner/friend to feel ‘seen’ (specific behaviors, not intentions)?",D.V_RELATIONSHIPS,Tier 2,I3.DEEP,Network,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.RELATIONAL_DEFENSE,,"REL.SHARED_REALITY, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.LONELINESS,"G.CONNECTION, G.BOUNDARIES",18,DEEP
NP-0019,Where has a relationship become transactional? What need is being protected by that transaction?,D.IV_SELF,Tier 2,I2.SCAN,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS","M.DEFENSE_MECHANISM, M.SCARCITY_TRUST",PERF.RELATIONAL_FRICTION,"REL.TRANSACTIONAL_DRIFT, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.DETACHMENT,"G.CONNECTION, G.SAFETY",19,DEEP
NP-0020,"When you feel lonely, what do you do that increases loneliness over the next 24 hours?",D.VI_OUTPUT,Tier 2,I2.SCAN,Output,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS","M.AVOIDANCE_LOOP, M.THREAT_RESPONSE","PERF.SOCIAL_WITHDRAWAL, PERF.RECOVERY_DEFICIT","REL.ISOLATION_LOOP, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,"SYM.LONELINESS, SYM.AVOIDANCE","G.CONNECTION, G.REPAIR",20,DEEP
NP-0021,Describe the ‘safe person profile’ for you: what do they do consistently that signals safety?,D.V_RELATIONSHIPS,Tier 2,I3.DEEP,Network,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.RELATIONAL_DEFENSE,,"REL.SAFE_PEOPLE_PROFILE, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.LONELINESS,"G.CONNECTION, G.BOUNDARIES",21,DEEP
NP-0022,What behavior in someone else triggers your ‘alarm system’ fastest—and what do you do immediately after?,D.I_HARDWARE,Tier 2,I2.SCAN,Hardware,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS","M.THREAT_RESPONSE, M.SOMATIC_DISREGULATION",PERF.EMOTIONAL_LATENCY,"REL.ANXIOUS_SIGNAL, REL.COMMUNICATION_BREAKDOWN",,"BIO.TRIGGER_STACK, BIO.NERVOUS_SYSTEM",,F.SOLO_JOURNAL,"SYM.ANXIETY, SYM.STRESS","G.REGULATION, G.CONNECTION",22,DEEP
NP-0023,What truth about your needs feels ‘too expensive’ to admit in a relationship?,D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS","M.SHAME_GUARD, M.NEED_SUPPRESSION",PERF.VULNERABILITY_AVOIDANCE,"REL.ADMISSION_COST, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,"SYM.SHAME, SYM.ANXIETY","G.CLARITY, G.CONNECTION",23,DEEP
